Text,Address,Street_Number,Street_Name,Street_Address,City,B-Zipcode,I-Zipcode,Zipcode,State,Country
"Office 2 Prenton Business Park, Prenton Way, CH43 3EA","Prenton Way, CH43 3EA","","Prenton Way","Prenton Way","","CH43","3EA","CH43 3EA","",""
"This Workspace 18 Albert Road Bournemouth BH1 1BZ","18 Albert Road Bournemouth BH1 1BZ","18","Albert Road","18 Albert Road","Bournemouth","BH1","1BZ","BH1 1BZ","",""
"iMex Centre 575-599 Maxted Road Hemel Hempstead, Hertfordshire HP2 7DX Tel: +44 0 1442 849999 Email: info@mentorgroup co uk","575-599 Maxted Road Hemel Hempstead, Hertfordshire HP2 7DX","575-599","Maxted Road","575-599 Maxted Road","Hemel Hempstead","HP2","7DX","HP2 7DX","Hertfordshire",""
"Registered Office: 1st Floor, 2 Woodberry Grove, Finchley, London, N12 0DR","2 Woodberry Grove, Finchley, London, N12 0DR","2","Woodberry Grove","2 Woodberry Grove","London","N12","0DR","N12 0DR","",""
"Head Office: Windmill Hill City Farm, Philip Street, Bedminster, Bristol BS3 4EA Tel: 0117 923 1800 Email: admin@farmgarden org uk","Philip Street, Bedminster, Bristol BS3 4EA","","Philip Street","Philip Street","Bristol","BS3","4EA","BS3 4EA","",""
"3M Centre, Cain Road, Bracknell, Berkshire RG12 8HT Registered No: 04176862","Cain Road, Bracknell, Berkshire RG12 8HT","","Cain Road","Cain Road","Bracknell","RG12","8HT","RG12 8HT","Berkshire",""
"1 Motherwell Way, West Thurrock, Grays, Essex, RM20 3XD","","1","Motherwell Way","1 Motherwell Way","Grays","RM20","3XD","RM20 3XD","Essex",""
"WOBURN SANDS Open today - 09:00 until 18:00 01908 583511 MK17 8UE","MK17 8UE","","","","","MK17","8UE","MK17 8UE","",""
"Awsworth Motor Company Ltd Main Street Awsworth Nottingham NG16 2RN","Main Street Awsworth Nottingham NG16 2RN","","Main Street","Main Street","Nottingham","NG16","2RN","NG16 2RN","",""
"MJ Abbott Limited, Bratch Lane, Dinton, Salisbury, Wiltshire, SP3 5EB, UK","Bratch Lane, Dinton, Salisbury, Wiltshire, SP3 5EB","","Bratch Lane","Bratch Lane","Salisbury","SP3","5EB","SP3 5EB","Wiltshire","UK"
"PO Box 2264, Reading, Berkshire, RG31 6WA","","","","","Reading","RG31","6WA","RG31 6WA","Berkshire",""
"1 Premier House, Sneyd St, Leek, Staffordshire, ST13 5HP, UK","Sneyd St, Leek, Staffordshire, ST13 5HP","","Sneyd St","Sneyd St","Leek","ST13","5HP","ST13 5HP","Staffordshire","UK"
"London Councils 59 Southwark Street London SE1 0AL","59 Southwark Street London SE1 0AL","59","Southwark Street","59 Southwark Street","London","SE1","0AL","SE1 0AL","",""
"Albany Environmental Services 44 Russell Square, London, WC1B 4JP 0207 287 8845 info@albanypestcontrol co uk","44 Russell Square, London, WC1B 4JP","44","Russell Square","44 Russell Square","London","WC1B","4JP","WC1B 4JP","",""
"3 Hurst Street, Oxford, OX4 1EZ, United Kingdom","","3","Hurst Street","Hurst Street","Oxford","OX4","1EZ","OX4 1EZ","","United Kingdom"
"Main Office: 123 Baker Street W1U 6RS London GB Contact: 020 7224 3688 Fax: 020 7224 3699 Company Reg Number: 1234567 England VAT number: 987 6543 21","123 Baker Street W1U 6RS London GB","123","Baker Street","123 Baker Street","London","W1U","6RS","W1U 6RS","","GB"
"Customer Service: 456 High Street B17 9QT Birmingham GB Telephone: 0121 456 7890 Email: support@example.com Registered Address: 456 High Street B17 9QT Birmingham GB Company Reg Number: 7654321 England VAT number: 123 4567 89","456 High Street B17 9QT Birmingham GB","456","High Street","456 High Street","Birmingham","B17","9QT","B17 9QT","","GB"
"Headquarters: 789 Victoria Road E11 4AA Manchester GB Tel: 0161 789 1234 Fax: 0161 789 5678 Registered in England and Wales Company Number: 2345678 VAT Number: 098 7654 32","789 Victoria Road E11 4AA Manchester GB","789","Victoria Road","789 Victoria Road","Manchester","E11","4AA","E11 4AA","","GB"
"Office Location: 321 Oxford Street W1D 2LH London GB Contact: 020 7553 1234 Registered Address: 321 Oxford Street W1D 2LH London GB Company Reg Number: 3456789 England VAT number: 876 5432 10","321 Oxford Street W1D 2LH London GB","321","Oxford Street","321 Oxford Street","London","W1D","2LH","W1D 2LH","","GB"
"Branch Office: 654 Kings Road SW10 0BB Chelsea GB Phone: 020 7795 1234 Fax: 020 7795 5678 Company Reg Number: 4567890 England VAT number: 765 4321 09","654 Kings Road SW10 0BB Chelsea GB","654","Kings Road","654 Kings Road","Chelsea","SW10","0BB","SW10 0BB","","GB"
"Regional Office: 987 Queen Street G1 3DN Glasgow GB Contact Number: 0141 123 4567 Fax: 0141 123 4568 Company Reg Number: 5678901 Scotland VAT Number: 654 3210 98","987 Queen Street G1 3DN Glasgow GB","987","Queen Street","987 Queen Street","Glasgow","G1","3DN","G1 3DN","","GB"
"Registered Office: 159 George Street EH2 4JY Edinburgh GB Tel: 0131 456 7890 Fax: 0131 456 7891 Company Reg Number: 6789012 Scotland VAT Number: 543 2109 87","159 George Street EH2 4JY Edinburgh GB","159","George Street","159 George Street","Edinburgh","EH2","4JY","EH2 4JY","","GB"
"Smith & Co. Accountants Registered Office: 15 High Street Birmingham B12 9NA","15 High Street Birmingham B12 9NA","15","High Street","15 High Street","Birmingham","B12","9NA","B12 9NA","",""
"Greenfield Pharmacy Registered Office: 78-80 Main Road Manchester M20 4WA","78 Main Road Manchester M20 4WA","78","Main Road","78 Main Road","Manchester","M20","4WA","M20 4WA","",""
"TechWorld Solutions Registered Office: Unit 2, Parkside Industrial Estate Leeds LS11 5TX","Unit 2 Parkside Industrial Estate Leeds LS11 5TX","2","Parkside Industrial Estate","Unit 2 Parkside Industrial Estate","Leeds","LS11","5TX","LS11 5TX","",""
"Baker Street Café Registered Office: 221B Baker Street London NW1 6XE","221B Baker Street London NW1 6XE","221B","Baker Street","221B Baker Street","London","NW1","6XE","NW1 6XE","",""
"Rosewood Hotel Registered Office: 50 Kensington Road London SW7 4QH","50 Kensington Road London SW7 4QH","50","Kensington Road","50 Kensington Road","London","SW7","4QH","SW7 4QH","",""
"Sunshine Dental Clinic Registered Office: 12 Queen's Avenue Bristol BS8 1SE","12 Queen's Avenue Bristol BS8 1SE","12","Queen's Avenue","12 Queen's Avenue","Bristol","BS8","1SE","BS8 1SE","",""
"Heritage Antiques Registered Office: 77 Market Street York YO1 8QZ","77 Market Street York YO1 8QZ","77","Market Street","77 Market Street","York","YO1","8QZ","YO1 8QZ","",""
"Elm Tree Café Registered Office: Ground Floor, 19 Elm Street Edinburgh EH2 3NH","19 Elm Street Edinburgh EH2 3NH","19","Elm Street","Ground Floor, 19 Elm Street","Edinburgh","EH2","3NH","EH2 3NH","",""
"Regal Cinemas Registered Office: 45 Royal Avenue Liverpool L1 1RF","45 Royal Avenue Liverpool L1 1RF","45","Royal Avenue","45 Royal Avenue","Liverpool","L1","1RF","L1 1RF","",""
"Harbor View Apartments Registered Office: Flat 4, 32 Dockside Road Southampton SO14 3BQ","32 Dockside Road Southampton SO14 3BQ","32","Dockside Road","Flat 4, 32 Dockside Road","Southampton","SO14","3BQ","SO14 3BQ","",""
"Green Road, Wolverhampton West Midlands WV10 6XX","","","Green Road","Green Road","Wolverhampton","WV10","6XX","WV10 6XX","West Midlands",""
"Station Street, Birmingham West Midlands B5 4DY","","","Station Street","Station Street","Birmingham","B5","4DY","B5 4DY","West Midlands",""
"Church Lane, London Greater London NW9 8HH","","","Church Lane","Church Lane","London","NW9","8HH","NW9 8HH","Greater London",""
"King Street, Manchester Greater Manchester M2 4NH","","","King Street","King Street","Manchester","M2","4NH","M2 4NH","Greater Manchester",""
"Park Avenue, Leeds West Yorkshire LS8 2HH","","","Park Avenue","Park Avenue","Leeds","LS8","2HH","LS8 2HH","West Yorkshire",""
"Victoria Road, Cambridge Cambridgeshire CB4 3BW","","","Victoria Road","Victoria Road","Cambridge","CB4","3BW","CB4 3BW","Cambridgeshire",""
"Queen Street, Bristol City of Bristol BS1 4DZ","","","Queen Street","Queen Street","Bristol","BS1","4DZ","BS1 4DZ","City of Bristol",""
"Chapel Street, Salford Greater Manchester M3 5DF","","","Chapel Street","Chapel Street","Salford","M3","5DF","M3 5DF","Greater Manchester",""
"Orchard Road, Edinburgh City of Edinburgh EH4 2HD","","","Orchard Road","Orchard Road","Edinburgh","EH4","2HD","EH4 2HD","City of Edinburgh",""
"Market Place, Doncaster South Yorkshire DN1 1NG","","","Market Place","Market Place","Doncaster","DN1","1NG","DN1 1NG","South Yorkshire",""
"John Smith, 12 Baker Street, Westminster, London, NW1 6XE","Baker Street, Westminster, London, NW1 6XE","12","Baker Street","Baker Street","London","NW1","6XE","NW1 6XE","",""
"Tesco Superstore, 111 High Street, Croydon, CR0 1QG","High Street, Croydon, CR0 1QG","111","High Street","High Street","Croydon","CR0","1QG","CR0 1QG","",""
"University of Cambridge, The Old Schools, Trinity Lane, Cambridge, CB2 1TN","Trinity Lane, Cambridge, CB2 1TN","","Trinity Lane","Trinity Lane","Cambridge","CB2","1TN","CB2 1TN","",""
"Amazon UK Services Ltd, 1 Principal Place, Worship Street, London, EC2A 2FA","Worship Street, London, EC2A 2FA","1","Principal Place","Worship Street","London","EC2A","2FA","EC2A 2FA","",""
"BBC Broadcasting House, Portland Place, London, W1A 1AA","Portland Place, London, W1A 1AA","","Portland Place","Portland Place","London","W1A","1AA","W1A 1AA","",""
"Manchester Central Library, St Peter's Square, Manchester, M2 5PD","St Peter's Square, Manchester, M2 5PD","","St Peter's Square","St Peter's Square","Manchester","M2","5PD","M2 5PD","",""
"Royal Liverpool University Hospital, Prescot Street, Liverpool, L7 8XP","Prescot Street, Liverpool, L7 8XP","","Prescot Street","Prescot Street","Liverpool","L7","8XP","L7 8XP","",""
"Edinburgh Castle, Castlehill, Edinburgh, EH1 2NG","Castlehill, Edinburgh, EH1 2NG","","Castlehill","Castlehill","Edinburgh","EH1","2NG","EH1 2NG","",""
"Google UK Ltd, 6 Pancras Square, London, N1C 4AG","Pancras Square, London, N1C 4AG","6","Pancras Square","Pancras Square","London","N1C","4AG","N1C 4AG","",""
"University of Oxford, Wellington Square, Oxford, OX1 2JD","Wellington Square, Oxford, OX1 2JD","","Wellington Square","Wellington Square","Oxford","OX1","2JD","OX1 2JD","",""
"23B High Street Ltd, Registered in England & Wales, Company No 87654321, Registered at 23B High Street, Guildford, GU1 3DY, VAT Registration No 123 4567 89","23B High Street, Guildford, GU1 3DY","23B","High Street","23B High Street","Guildford","GU1","3DY","GU1 3DY","",""
"Tech Solutions Ltd, Registered in England, Company No 56473829, Registered at Unit 4, 15-17 King Edward Street, Macclesfield, SK10 1AQ, VAT Registration No 234 5678 90","Unit 4, 15-17 King Edward Street, Macclesfield, SK10 1AQ","15-17","King Edward Street","Unit 4, 15-17 King Edward Street","Macclesfield","SK10","1AQ","SK10 1AQ","",""
"Greenfield Estates PLC, Registered in Scotland, Company No SC123456, Registered at 12 Elm Road, Perth, PH1 5AB, VAT Registration No 345 6789 01","12 Elm Road, Perth, PH1 5AB","12","Elm Road","12 Elm Road","Perth","PH1","5AB","PH1 5AB","",""
"ABC Enterprises Ltd, Registered in Northern Ireland, Company No NI789012, Registered at 8 Castle Street, Belfast, BT1 1AA, VAT Registration No 456 7890 12","8 Castle Street, Belfast, BT1 1AA","8","Castle Street","8 Castle Street","Belfast","BT1","1AA","BT1 1AA","",""
"Bright Future Innovations Ltd, Registered in Wales, Company No 98765432, Registered at 45 Sea View Road, Swansea, SA1 4LH, VAT Registration No 567 8901 23","45 Sea View Road, Swansea, SA1 4LH","45","Sea View Road","45 Sea View Road","Swansea","SA1","4LH","SA1 4LH","",""
"Creative Designs Ltd, Registered in England, Company No 34567890, Registered at 9A Market Street, Newcastle upon Tyne, NE1 6PQ, VAT Registration No 678 9012 34","9A Market Street, Newcastle upon Tyne, NE1 6PQ","9A","Market Street","9A Market Street","Newcastle upon Tyne","NE1","6PQ","NE1 6PQ","",""
"Health & Wellness Ltd, Registered in England, Company No 11223344, Registered at Suite 2, 22 Church Lane, York, YO1 7JG, VAT Registration No 789 0123 45","Suite 2, 22 Church Lane, York, YO1 7JG","22","Church Lane","Suite 2, 22 Church Lane","York","YO1","7JG","YO1 7JG","",""
"Eco-Friendly Solutions Ltd, Registered in Scotland, Company No SC654321, Registered at 30 Glen Road, Aberdeen, AB10 6XY, VAT Registration No 890 1234 56","30 Glen Road, Aberdeen, AB10 6XY","30","Glen Road","30 Glen Road","Aberdeen","AB10","6XY","AB10 6XY","",""
"Luxury Interiors Ltd, Registered in England, Company No 99887766, Registered at 5 Royal Avenue, Bath, BA1 2QS, VAT Registration No 901 2345 67","5 Royal Avenue, Bath, BA1 2QS","5","Royal Avenue","5 Royal Avenue","Bath","BA1","2QS","BA1 2QS","",""
"Smart Tech Ltd, Registered in Northern Ireland, Company No NI123456, Registered at 14 Innovation Park, Londonderry, BT48 7QT, VAT Registration No 012 3456 78","14 Innovation Park, Londonderry, BT48 7QT","14","Innovation Park","14 Innovation Park","Londonderry","BT48","7QT","BT48 7QT","",""
"Greenwood Landscaping Services Ltd Trading address: 32 Elm Street, Manchester, M15 4JQ Registered Company Number: 04567891 VAT number 123456789 Registered in England and Wales Telephone: 0161 123 4567 Email: contact@greenwoodlandscaping.co.uk","32 Elm Street, Manchester, M15 4JQ","32","Elm Street","32 Elm Street","Manchester","M15","4JQ","M15 4JQ","",""
"Swift Electrical Solutions Ltd Trading address: 5 Oak Avenue, Birmingham, B23 6TR Registered Company Number: 06789123 VAT number 987654321 Registered in England and Wales Telephone: 0121 987 6543 Email: info@swiftelectrical.co.uk","5 Oak Avenue, Birmingham, B23 6TR","5","Oak Avenue","5 Oak Avenue","Birmingham","B23","6TR","B23 6TR","",""
"Peak Digital Solutions Ltd Trading address: 101 High Road, London, NW10 2JR Registered Company Number: 08912345 VAT number 456789123 Registered in England and Wales Telephone: 020 8123 4567 Email: support@peakdigital.co.uk","101 High Road, London, NW10 2JR","101","High Road","101 High Road","London","NW10","2JR","NW10 2JR","",""
"Baker & Sons Construction Ltd Trading address: 8 Maple Crescent, Leeds, LS11 6FG Registered Company Number: 01234567 VAT number 234567890 Registered in England and Wales Telephone: 0113 234 5678 Email: admin@bakerandsons.co.uk","8 Maple Crescent, Leeds, LS11 6FG","8","Maple Crescent","8 Maple Crescent","Leeds","LS11","6FG","LS11 6FG","",""
"Bright Future Tutoring Ltd Trading address: 45 School Lane, Bristol, BS7 8GH Registered Company Number: 07894561 VAT number 345678912 Registered in England and Wales Telephone: 0117 987 6543 Email: enquiries@brightfuturetutoring.co.uk","45 School Lane, Bristol, BS7 8GH","45","School Lane","45 School Lane","Bristol","BS7","8GH","BS7 8GH","",""
"Fresh Bakes Bakery Ltd Trading address: 27 Cherry Street, Liverpool, L3 4AB Registered Company Number: 09876543 VAT number 567891234 Registered in England and Wales Telephone: 0151 234 5678 Email: orders@freshbakes.co.uk","27 Cherry Street, Liverpool, L3 4AB","27","Cherry Street","27 Cherry Street","Liverpool","L3","4AB","L3 4AB","",""
"Elite Fitness Gym Ltd Trading address: 60 Riverside Road, Nottingham, NG2 1QW Registered Company Number: 04561234 VAT number 678912345 Registered in England and Wales Telephone: 0115 912 3456 Email: info@elitefitness.co.uk","60 Riverside Road, Nottingham, NG2 1QW","60","Riverside Road","60 Riverside Road","Nottingham","NG2","1QW","NG2 1QW","",""
"Tech Innovations Ltd Trading address: 12 Innovation Way, Cambridge, CB3 0FT Registered Company Number: 05678912 VAT number 789123456 Registered in England and Wales Telephone: 01223 456 789 Email: hello@techinnovations.co.uk","12 Innovation Way, Cambridge, CB3 0FT","12","Innovation Way","12 Innovation Way","Cambridge","CB3","0FT","CB3 0FT","",""
"Healthy Living Pharmacy Ltd Trading address: 98 Wellness Avenue, Cardiff, CF10 3AB Registered Company Number: 03456789 VAT number 890123456 Registered in England and Wales Telephone: 029 2034 5678 Email: contact@healthylivingpharmacy.co.uk","98 Wellness Avenue, Cardiff, CF10 3AB","98","Wellness Avenue","98 Wellness Avenue","Cardiff","CF10","3AB","CF10 3AB","",""
"Luxury Interiors Ltd Trading address: 77 Designer Lane, Edinburgh, EH3 5DL Registered Company Number: 06789012 VAT number 901234567 Registered in England and Wales Telephone: 0131 234 5678 Email: sales@luxuryinteriors.co.uk","77 Designer Lane, Edinburgh, EH3 5DL","77","Designer Lane","77 Designer Lane","Edinburgh","EH3","5DL","EH3 5DL","",""
"SELLER means Greenfield Estates Ltd, Oak Avenue, Bromley, London, BR2 8HJ, company number 03216589","Oak Avenue, Bromley, London, BR2 8HJ","","Oak Avenue","Oak Avenue","London","BR2","8HJ","BR2 8HJ","London",""
"Riverbank Homes PLC, River Street, Cambridge, Cambridgeshire, CB5 8AB, company number 04567823","River Street, Cambridge, Cambridgeshire, CB5 8AB","","River Street","River Street","Cambridge","CB5","8AB","CB5 8AB","Cambridgeshire",""
"Bright Futures Ltd, Maple Road, Chichester, West Sussex, PO19 7HH, company number 07894561","Maple Road, Chichester, West Sussex, PO19 7HH","","Maple Road","Maple Road","Chichester","PO19","7HH","PO19 7HH","West Sussex",""
"SELLER means Blue Horizon Enterprises, Elm Drive, Basingstoke, Hampshire, RG21 3NN, company number 09123456","Elm Drive, Basingstoke, Hampshire, RG21 3NN","","Elm Drive","Elm Drive","Basingstoke","RG21","3NN","RG21 3NN","Hampshire",""
"Crystal Waters Ltd, Birch Lane, Guildford, Surrey, GU1 2AB, company number 02345678","Birch Lane, Guildford, Surrey, GU1 2AB","","Birch Lane","Birch Lane","Guildford","GU1","2AB","GU1 2AB","Surrey",""
"Sunset Villas Ltd, Cedar Close, Exeter, Devon, EX4 5DS, company number 05432109","Cedar Close, Exeter, Devon, EX4 5DS","","Cedar Close","Cedar Close","Exeter","EX4","5DS","EX4 5DS","Devon",""
"SELLER means Highlands Properties, Willow Way, Manchester, Greater Manchester, M15 6FD, company number 06543210","Willow Way, Manchester, Greater Manchester, M15 6FD","","Willow Way","Willow Way","Manchester","M15","6FD","M15 6FD","Greater Manchester",""
"Horizon Developments, Poplar Road, Oxford, Oxfordshire, OX1 4TG, company number 07654321","Poplar Road, Oxford, Oxfordshire, OX1 4TG","","Poplar Road","Poplar Road","Oxford","OX1","4TG","OX1 4TG","Oxfordshire",""
"Future Growth Ltd, Ash Avenue, Leicester, Leicestershire, LE2 7QR, company number 08765432","Ash Avenue, Leicester, Leicestershire, LE2 7QR","","Ash Avenue","Ash Avenue","Leicester","LE2","7QR","LE2 7QR","Leicestershire",""
" Meadowland Estates, Spruce Drive, Reading, Berkshire, RG1 8PP, company number 09876543","Spruce Drive, Reading, Berkshire, RG1 8PP","","Spruce Drive","Spruce Drive","Reading","RG1","8PP","RG1 8PP","Berkshire",""
"Head Office: Baker Street Consulting Ltd, 221B Baker Street, London NW1 6XE Company Registration Number: 12345678","221B Baker Street, London NW1 6XE","221B","Baker Street","221B Baker Street","London","NW1","6XE","NW1 6XE","",""
"Corporate Office: Tech Innovators Ltd, 15 King Edward Street, Manchester M2 4WU Company Registration Number: 87654321","15 King Edward Street, Manchester M2 4WU","15","King Edward Street","15 King Edward Street","Manchester","M2","4WU","M2 4WU","",""
"Office: Green Gardens Ltd, 50 Rose Lane, Liverpool L18 5ED Company Registration Number: 11223344","50 Rose Lane, Liverpool L18 5ED","50","Rose Lane","50 Rose Lane","Liverpool","L18","5ED","L18 5ED","",""
"Registered Address: Blue Ocean Ltd, 32 Elm Avenue, Bristol BS9 3AB Company Registration Number: 55667788","32 Elm Avenue, Bristol BS9 3AB","32","Elm Avenue","32 Elm Avenue","Bristol","BS9","3AB","BS9 3AB","",""
"Main Office: Red Brick Ltd, 8 High Street, Leeds LS1 4AG Company Registration Number: 99887766","8 High Street, Leeds LS1 4AG","8","High Street","8 High Street","Leeds","LS1","4AG","LS1 4AG","",""
"Office Location: Silver Line Ltd, 123 Queen's Road, Birmingham B1 1RF Company Registration Number: 33445566","123 Queen's Road, Birmingham B1 1RF","123","Queen's Road","123 Queen's Road","Birmingham","B1","1RF","B1 1RF","",""
"Registered Office: Sunflower Enterprises Ltd, 9 Oakwood Drive, Nottingham NG7 2JD Company Registration Number: 77889900","9 Oakwood Drive, Nottingham NG7 2JD","9","Oakwood Drive","9 Oakwood Drive","Nottingham","NG7","2JD","NG7 2JD","",""
"Business Address: Starry Night Ltd, 45 Moon Crescent, Oxford OX4 2HT Company Registration Number: 66554433","45 Moon Crescent, Oxford OX4 2HT","45","Moon Crescent","45 Moon Crescent","Oxford","OX4","2HT","OX4 2HT","",""
"Headquarters: Emerald Isle Ltd, 67 Clover Way, Cambridge CB1 9AB Company Registration Number: 44556677","67 Clover Way, Cambridge CB1 9AB","67","Clover Way","67 Clover Way","Cambridge","CB1","9AB","CB1 9AB","",""
"Main Office: Northern Star Ltd, 11 Polaris Street, Newcastle NE1 3XY Company Registration Number: 22334455","11 Polaris Street, Newcastle NE1 3XY","11","Polaris Street","11 Polaris Street","Newcastle","NE1","3XY","NE1 3XY","",""
"Address: Greenfield Library 58 High Street, Greenfield, MK45 5DB","58 High Street, Greenfield, MK45 5DB","58","High Street","58 High Street","Greenfield","MK45","5DB","MK45 5DB","",""
"Address: St. Mary's Church 74 Church Road, Reigate, RH2 6BA","74 Church Road, Reigate, RH2 6BA","74","Church Road","74 Church Road","Reigate","RH2","6BA","RH2 6BA","",""
"Address: The Bluebell Cafe 12 Market Place, Ashbourne, DE6 1EU","12 Market Place, Ashbourne, DE6 1EU","12","Market Place","12 Market Place","Ashbourne","DE6","1EU","DE6 1EU","",""
"Address: Beacon Primary School 23 School Lane, North Shields, NE29 6BL","23 School Lane, North Shields, NE29 6BL","23","School Lane","23 School Lane","North Shields","NE29","6BL","NE29 6BL","",""
"Address: Sundial House 35 Old Park Lane, London, W1K 1QT","35 Old Park Lane, London, W1K 1QT","35","Old Park Lane","35 Old Park Lane","London","W1K","1QT","W1K 1QT","",""
"Address: Willow Cottage 9 Mill Road, Cambridge, CB1 9LA","9 Mill Road, Cambridge, CB1 9LA","9","Mill Road","9 Mill Road","Cambridge","CB1","9LA","CB1 9LA","",""
"Address: The Red Lion Inn 4 Bridge Street, Knaresborough, HG5 8AB","4 Bridge Street, Knaresborough, HG5 8AB","4","Bridge Street","4 Bridge Street","Knaresborough","HG5","8AB","HG5 8AB","",""
"Address: Oak Tree Clinic 88 Elm Street, Birmingham, B5 7JP","88 Elm Street, Birmingham, B5 7JP","88","Elm Street","88 Elm Street","Birmingham","B5","7JP","B5 7JP","",""
"Address: Riverside Apartments 101 River Walk, Reading, RG1 2NU","101 River Walk, Reading, RG1 2NU","101","River Walk","101 River Walk","Reading","RG1","2NU","RG1 2NU","",""
"Address: Kingsley High School 66 Kings Road, Harrogate, HG1 5JW","66 Kings Road, Harrogate, HG1 5JW","66","Kings Road","66 Kings Road","Harrogate","HG1","5JW","HG1 5JW","",""
"12 High Street, Cambridge, CB2 3BJ","","12","High Street","High Street","Cambridge","CB2","3BJ","CB2 3BJ","",""
"58 Park Lane, Croydon, CR0 1EA","","58","Park Lane","Park Lane","Croydon","CR0","1EA","CR0 1EA","",""
"22 King Street, Manchester, M2 6AG","","22","King Street","King Street","Manchester","M2","6AG","M2 6AG","",""
"113 Oxford Road, Reading, RG1 7UZ","","113","Oxford Road","Oxford Road","Reading","RG1","7UZ","RG1 7UZ","",""
"7 Station Road, Bristol, BS1 6QG","","7","Station Road","Station Road","Bristol","BS1","6QG","BS1 6QG","",""
"29 Castle Street, Edinburgh, EH2 3BN","","29","Castle Street","Castle Street","Edinburgh","EH2","3BN","EH2 3BN","",""
"78 Church Street, Brighton, BN1 1RL","","78","Church Street","Church Street","Brighton","BN1","1RL","BN1 1RL","",""
"5 Queen's Road, Belfast, BT1 3FF","","5","Queen's Road","Queen's Road","Belfast","BT1","3FF","BT1 3FF","",""
"31 Victoria Avenue, Cardiff, CF10 2HL","","31","Victoria Avenue","Victoria Avenue","Cardiff","CF10","2HL","CF10 2HL","",""
"44 Market Street, York, YO1 8SU","","44","Market Street","Market Street","York","YO1","8SU","YO1 8SU","",""
"Flat 5A, 17 Queen's Road, SW19 8NW","17 Queen's Road, SW19 8NW","17","Queen's Road","Queen's Road","","SW19","8NW","SW19 8NW","",""
"Suite 23, Camelot Court, King Street, M2 4AW","Camelot Court, King Street, M2 4AW","","King Street","Camelot Court, King Street","","M2","4AW","M2 4AW","",""
"Warehouse B, 45 Industrial Estate, NE6 2UQ","45 Industrial Estate, NE6 2UQ","45","Industrial Estate","Industrial Estate","","NE6","2UQ","NE6 2UQ","",""
"Room 101, University Hall, 23 College Road, CB1 2HY","23 College Road, CB1 2HY","23","College Road","University Hall, College Road","","CB1","2HY","CB1 2HY","",""
"Unit 12, Riverside Retail Park, LS10 1ET","Riverside Retail Park, LS10 1ET","","Riverside Retail Park","Riverside Retail Park","","LS10","1ET","LS10 1ET","",""
"Office 3, The Innovation Centre, 2 Science Park, NG7 2RF","2 Science Park, NG7 2RF","2","Science Park","The Innovation Centre, Science Park","","NG7","2RF","NG7 2RF","",""
"House 9, 12 Winston Avenue, W14 8AG","12 Winston Avenue, W14 8AG","12","Winston Avenue","Winston Avenue","","W14","8AG","W14 8AG","",""
