Text,Address,Street_Number,Street_Name,Street_Address,City,Zip_Code,State,Country
"404 Spruce Way, Apt 12B Houston, TX 77002 713 555-4567","404 Spruce Way, Apt 12B Houston, TX 77002",404,Spruce Way,404 Spruce Way,Houston,77002,TX,
"808 Willow St, Chicago, IL 60601","Willow St, Chicago, IL 60601",808,Willow St,Willow St,Chicago,60601,IL,
"456 Maple St, Nashville, TN 37201","456 Maple St, Nashville, TN 37201",456,Maple St,456 Maple St,Nashville,37201,TN,
"606 Willow Drive, Apt 7D, Austin, TX 78701 512 555-2345","606 Willow Drive, Apt 7D, Austin, TX 78701",606,Willow Drive,606 Willow Drive,Austin,78701,TX,
"P O Box 776255, Oakland, California, USA 94607","Oakland, CA 94607",,,,Oakland,94607,CA,USA
"215 West Walnut St Cochrane, AZ 85606",,215,West Walnut St,215 West Walnut St,Cochrane,85606,AZ,
"Tech Hub 412 Silicon Boulevard Palo Alto, CA 94301","412 Silicon Boulevard Palo Alto, CA 94301",412,Silicon Boulevard,412 Silicon Boulevard,Palo Alto,94301,CA,
"For inquiries, call 901-555-9870 or email support@memphisbiz.org 1313 Beale St, Memphis, TN 38103","1313 Beale St, Memphis, TN 38103",1313,Beale St,1313 Beale St,Memphis,38103,TN,
"1719 W Federal Hwy Ste 633,BOCA RATON,FL,33432,US","1719 W Federal Hwy Ste 633,BOCA RATON,FL,33432,US",1719,W Federal Hwy,1719 W Federal Hwy Ste 633,BOCA RATON,33432,FL,US
"Ocean View 234 Beach Avenue Santa Monica, CA 90401","234 Beach Avenue Santa Monica, CA 90401",234,Beach Avenue,234 Beach Avenue,Santa Monica,90401,CA,
"222 Maple Street, Floor 4 Cleveland, OH 44114 216 555-4455","222 Maple Street, Floor 4 Cleveland, OH 44114",222,Maple Street,222 Maple Street,Cleveland,44114,OH,
"Find us at: 9101 Pine Blvd, Denver CO 80202","9101 Pine Blvd, Denver CO 80202",9101,Pine Blvd,9101 Pine Blvd,Denver,80202,CO, 
"Warehouse Location: 987 Cedar Road, Denver, CO 80203 USA","987 Cedar Road, Denver, CO 80203 USA",987,Cedar Road,987 Cedar Road,Denver,80203,Colorado,USA
"11401 Bent Oak Dr Ste 100,SAN DIEGO,CA,92130,US","11401 Bent Oak Dr Ste 100, SAN DIEGO, CA, 92130, US",11401,Bent Oak Dr,11401 Bent Oak Dr,SAN DIEGO,92130,CA,US
" For help dial 888 666-7777 or +1 407 777-8888 654 Cedar Ln Orlando, FL 32801","654 Cedar Ln Orlando, FL 32801",654,Cedar Ln,654 Cedar Ln,Orlando,32801,FL,
"C/O WILL. F. MARE 16 BAILER HILL RD.,WALTHAM,,MA,USA","16 BAILER HILL RD.,WALTHAM,,MA,USA",16,BAILER HILL RD.,16 BAILER HILL RD.,WALTHAM,,MA,USA
"Contact 602-555-6543 info@phoenixco.com 606 Desert Rd, Phoenix, AZ 85001","606 Desert Rd, Phoenix, AZ 85001",606,Desert Rd,606 Desert Rd,Phoenix,85001,AZ,
"Mountain View Clinic 654 Cedar Lane, Denver, Colorado 80220","654 Cedar Lane, Denver, Colorado 80220",654,Cedar Lane,654 Cedar Lane,Denver,80220,Colorado,United States
"Building 8, 702 North Varina, Suite 230, TX,78746,US","702 North Varina, Suite 230, TX,78746,US",702,North Varina,702 North Varina,Austin,78746,TX,US
"Come by at 444 Cypress Road Raleigh, NC 27601","444 Cypress Road Raleigh, NC 27601",444,Cypress Road,444 Cypress Road,Raleigh,27601,NC, 
"Sales Office: Peak Performance Gear 3000 Mountain Drive Boulder, CO 80302","3000 Mountain Drive Boulder, CO 80302",3000,Mountain Drive,3000 Mountain Drive,Boulder,80302,CO,
"Please contact us at your earliest convenience for a personal appointment. 123-456-7890 2578 Maple Avenue Dallas, Texas 75201","2578 Maple Avenue Dallas, Texas 75201",2578,Maple Avenue,2578 Maple Avenue,Dallas,75201,Texas,USA
"FAMILY BAKERY 222 CEDAR AVENUE NEW YORK, NY 10001","222 CEDAR AVENUE NEW YORK, NY 10001",222,CEDAR AVENUE,222 CEDAR AVENUE,New York,10001,NY, 
"9090 Aspen Rd, Portland, OR 97201",9090 Aspen Rd,9090,Aspen Rd,9090 Aspen Rd,Portland,97201,OR,
" Contact 800 666-7777 or +1 206 777-8888 543 Ash Ct Seattle, WA 98101","543 Ash Ct Seattle, WA 98101",543,Ash Ct,543 Ash Ct,Seattle,98101,WA,
"Lakeview Apartments 1024 Lake Shore Drive, Cleveland, Ohio 44114","1024 Lake Shore Drive, Cleveland, Ohio 44114",1024,Lake Shore Drive,1024 Lake Shore Drive,Cleveland,44114,Ohio,United States
"123 Elm St, Portland, OR 97201","123 Elm St, Portland, OR 97201",123,Elm St,123 Elm St,Portland,97201,OR,
"18 Technology Drive Suite 110 Irvine, CA 92618 1-844-YES-RESHAPE 1-844-937-7374 info@ReShapeLifesci.com","18 Technology Drive Suite 110 Irvine, CA 92618",18,Technology Drive,18 Technology Drive,Irvine,92618,CA,
"Redwood Library 246 Forest Avenue, Redwood City, California 94063","246 Forest Avenue, Redwood City, California 94063",246,Forest Avenue,246 Forest Avenue,Redwood City,94063,California,United States
"2500 Wilshire Blvd, Los Angeles, CA 90057","2500 Wilshire Blvd, Los Angeles, CA 90057",2500,Wilshire Blvd,2500 Wilshire Blvd,Los Angeles,90057,CA,
"GREEN GROCER 321 ELM STREET CHICAGO, IL 60604","321 ELM STREET CHICAGO, IL 60604",321,ELM STREET,321 ELM STREET,Chicago,60604,IL, 
"The Association for Investor Awareness, Inc. 2020 Pennsylvania Avenue, NW 755 Washington, DC 20006","2020 Pennsylvania Avenue, NW 755 Washington, DC 20006",2020,Pennsylvania Avenue,2020 Pennsylvania Avenue,Washington,20006,DC,
" 512 987-6543 contact@austin.com 2460 Barton Springs Road Austin, TX 78704","2460 Barton Springs Road Austin, TX 78704",2460,Barton Springs Road,2468 Peachtree Street,Austin,78704,TX,
"Bird Shoppers Paradise 302-684-4101 26754 Lewes Georgetown Highway Harbeson, Delaware 19951 Delawares Largest Exotic Bird Store!","26754 Lewes Georgetown Highway Harbeson, Delaware 19951",26754,Lewes Georgetown Highway,26754 Lewes Georgetown Highway,Harbeson,19951,Delaware,
"Henges Interiors Hours by Appointment Please call to set up your personal design consultation with one of our designers. 314-291-6600 4133 Shoreline Drive Earth City, Missouri 63045","4133 Shoreline Drive Earth City, Missouri 63045",4133,Shoreline Drive,4133 Shoreline Drive,Earth City,63045,Missouri,
"500 Cedar Lane, Apt 7C Dallas, TX 75201 Mobile: 555 567-8901","500 Cedar Lane, Dallas, TX 75201",500,Cedar Lane,500 Cedar Lane,Dallas,75201,TX,
"148 E. Main Street New Rochelle, NY 10801 914 632-0248 info@salesianhigh.org HOME About Admissions Academics Athletics Alumni Students Parents Staff Contact","148 E. Main Street New Rochelle, NY 10801",148,E. Main Street,148 E. Main Street,New Rochelle,10801,NY,
"742 Evergreen Terrace Springfield, IL 62704","742 Evergreen Terrace Springfield, IL 62704",742,Evergreen Terrace,742 Evergreen Terrace,Springfield,62704,IL,
"910 Cedar Rd, Miami, FL 33101","910 Cedar Rd, Miami, FL 33101",910,Cedar Rd,910 Cedar Rd,Miami,33101,FL,
"DE HEALTH Center, Research Building, 1733 Acero Highway, Wilmington, DE 19805, US","1733 Acero Highway, Wilmington, DE 19805, US",1733,Acero Highway,1733 Acero Highway,Wilmington,19805,DE,US
California 90210 310-555-1234,California 90210,,,,,90210,CA, 
"2068 Burns Dr Ste B,LAS VEGAS,NV,89119,,US","2068 Burns Dr Ste B, LAS VEGAS, NV, 89119, US",2068,Burns Dr,2068 Burns Dr,LAS VEGAS,89119,NV,US
"987, Cedar Road, Miami, FL 33101",,987,Cedar Road,"987, Cedar Road",Miami,33101,FL,
"6252 Sunset St,BEAUMONT,TX,77707,US","6252 Sunset St, BEAUMONT, TX, 77707, US",6252,Sunset St,6252 Sunset St,BEAUMONT,77707,TX,US
"Address 14131 Midway Rd, Addison, TX, 75001","14131 Midway Rd, Addison, TX, 75001",14131,Midway Rd,14131 Midway Rd,Addison,75001,TX,
"645 North Ridge Rd Mondovi, TX 75455",,645,North Ridge Rd,645 North Ridge Rd,Mondovi,75455,TX,
"202 Birch Dr Ste 110 Miami, FL 33101 305 555-1011 help@miamibiz.com","202 Birch Dr Ste 110 Miami, FL 33101",202,Birch Dr,202 Birch Dr,Miami,33101,FL,
"Hilltop Bakery 234 Elmwood Drive Portland, OR 97201 United States","234 Elmwood Drive Portland, OR 97201",234,Elmwood Drive,234 Elmwood Drive,Portland,97201,OR,United States
